,行政区,price,最低首付,参考月供,环线信息,小区名称,房源编号,房屋户型,配备电梯,areas,供暖方式,所在楼层,装修情况,房屋朝向,上次交易,房本年限,售房原因,房屋类型,挂牌均价,建筑年代,物业类型,楼栋总数,房屋总数,物业公司,开发商,挂牌房源
493,徐汇,1085,379.8万,37430元,内环内,佳安公寓(徐汇徐家汇)地图,sh4678794举报假一赔百细则,3室2厅2卫,有(二梯四户),167.37平,暂无数据,中区/34层,毛坯,东北,2002-11-20,满五,折现,住宅 - 公寓,73267元/平,1998~2001年,住宅 - 公寓、住宅 - 写字楼,14栋,496户,上海中南行物业管理有限公司、中南物业,上海佳安置业有限公司,12套在售二手房3套在租房源
494,普陀,340,119万,11729元,内中环,甘泉苑(普陀甘泉宜川)地图,sh4678676举报假一赔百细则,2室1厅1卫,暂无数据,61.06平,暂无数据,中区/6层,简装,南,暂无数据,满五,折现,住宅 - 公寓,57567元/平,1986~1989年,住宅 - 公寓,121栋,2723户,上海威斯特物业经营有限公司,西部集团,43套在售二手房7套在租房源
495,松江,275,96.2万,9487元,外环外,新凯家园(松江泗泾)地图,sh4678424举报假一赔百细则,2室2厅1卫,暂无数据,78.53平,暂无数据,低区/6层,毛坯,南北,2010-06-03,满五,其它,住宅 - 公寓,37028元/平,2006~2015年,住宅 - 公寓、住宅 - 写字楼,478栋,7422户,彩生活物业,上海新凯房地产开发有限公司,84套在售二手房17套在租房源
496,长宁,371,129.8万,12798元,内环内,长源小区(长宁中山公园)地图,sh4678219举报假一赔百细则,2室1厅1卫,暂无数据,48.8平,暂无数据,高区/6层,中装,南北,2000-02-02,满五,折现,住宅 - 公寓,80946元/平,1995~1996年,住宅 - 公寓,21栋,324户,长宁物业,长宁集团,11套在售二手房4套在租房源
497,浦东,1300,455万,44846元,内环内,中星海上景庭(浦东洋泾)地图,sh4677851举报假一赔百细则,4室2厅2卫,有(一梯二户),160.31平,暂无数据,低区/16层,简装,南北,2006-07-31,满五,折现,住宅 - 公寓,83773元/平,2005~2006年,住宅 - 公寓,18栋,673户,上海中星集团申城物业有限公司、申城物业,上海中星（集团）有限公司、中星集团,10套在售二手房4套在租房源
498,浦东,315,110.2万,10867元,内中环,临沂二村(浦东南码头)地图,sh4676962举报假一赔百细则,2室0厅1卫,暂无数据,51.5平,暂无数据,中区/6层,简装,南北,暂无数据,满五,折现,住宅 - 公寓,60133元/平,1986~1990年,住宅 - 公寓,56栋,1264户,上海振南物业公司、振南物业,上海建工房产有限公司,8套在售二手房2套在租房源
499,普陀,460,161万,15869元,内中环,中浩云花园(普陀万里)地图,sh4676142举报假一赔百细则,1室2厅1卫,有(二梯四户),59.45平,暂无数据,中区/18层,精装,南,2009-08-19,满五,折现,住宅 - 公寓,75821元/平,2008年,住宅 - 公寓,21栋,1432户,陶然居物业,上海中环投资开发(集团)有限公司、中环集团,17套在售二手房8套在租房源
500,徐汇,590,206.5万,20353元,内环内,乐山八九村(徐汇徐家汇)地图,sh4675979举报假一赔百细则,2室1厅1卫,有(二梯八户),74.43平,暂无数据,高区/18层,精装,东南,2012-08-01,满五,折现,住宅 - 公寓,84397元/平,1989~1991年,住宅 - 公寓,32栋,1206户,上海高建物业有限公司、上海北方物业管理有限公司,四川建筑公司,17套在售二手房9套在租房源
501,长宁,860,301万,29668元,内中环,美丽华花园(公寓)(长宁古北)地图,sh4675341举报假一赔百细则,3室2厅2卫,有(二梯八户),130.88平,暂无数据,高区/21层,精装,西北,1996-05-31,满五,其它,住宅 - 公寓,住宅 - 公寓,4栋,430户,上海美丽华物业管理有限公司、丽华物业,上海上美置业有限公司,8套在售二手房4套在租房源,,
502,徐汇,505,176.8万,17421元,内中环,机场新村（龙华）(徐汇龙华)地图,sh4674773举报假一赔百细则,2室1厅1卫,暂无数据,74.97平,暂无数据,高区/6层,简装,南北,暂无数据,满五,置换,住宅 - 公寓,70935元/平,1982~1993年,住宅 - 公寓,31栋,579户,东方物业,东方航空集团,4套在售二手房1套在租房源
503,徐汇,425,148.8万,14661元,内中环,虹梅南路96弄(徐汇华东理工)地图,sh4673930举报假一赔百细则,3室1厅1卫,暂无数据,74.74平,暂无数据,中区/6层,简装,南北,暂无数据,满五,折现,住宅 - 公寓,56804元/平,1993~1995年,住宅 - 公寓,74栋,852户,徐愰物业,暂无信息,13套在售二手房3套在租房源
504,徐汇,268,93.8万,9245元,内中环,田林六村(徐汇田林)地图,sh4673649举报假一赔百细则,1室1厅1卫,暂无数据,40.0平,暂无数据,中区/6层,简装,南,暂无数据,满五,折现,住宅 - 公寓,66357元/平,1983~1989年,住宅 - 公寓,42栋,988户,上海兴康物业有限公司、上海田林物业有限公司、田林新村物业管理公司,上海徐汇房产经营有限公司,8套在售二手房7套在租房源
505,普陀,790,276.5万,27253元,内中环,愉景华庭(普陀万里)地图,sh4673432举报假一赔百细则,3室2厅2卫,有(二梯三户),108.13平,暂无数据,中区/18层,精装,南,2006-09-08,满五,其它,住宅 - 公寓,68820元/平,2005~2007年,住宅 - 公寓,49栋,1632户,戴德梁行物业管理有限公司、戴德粱行物业管理顾问公司,上海华烨房地产有限公司,37套在售二手房13套在租房源
506,浦东,320,112万,11039元,内中环,恒大华城梅山苑(浦东三林)地图,sh4673221举报假一赔百细则,1室1厅1卫,暂无数据,48.11平,暂无数据,低区/6层,简装,南,1999-12-08,满五,置换,住宅 - 公寓,64566元/平,1995~1997年,住宅 - 公寓,43栋,516户,上海建玮物业管理有限公司,恒大集团,6套在售二手房3套在租房源
507,长宁,210,73.5万,7244元,中外环,新泾三村(长宁北新泾)地图,sh4672616举报假一赔百细则,1室0厅1卫,暂无数据,34.99平,暂无数据,高区/6层,中装,南,暂无数据,满五,折现,住宅 - 公寓,64116元/平,1985~1988年,住宅 - 公寓,92栋,2305户,上海新长宁集团新程物业有限公司,上海新长宁(集团)有限公司、长宁集团,27套在售二手房11套在租房源
508,浦东,295,103.2万,10177元,内中环,临沂一村(浦东南码头)地图,sh4672569举报假一赔百细则,2室0厅1卫,暂无数据,52.36平,暂无数据,高区/6层,简装,南,暂无数据,满五,置换,住宅 - 公寓,58582元/平,1982~1987年,住宅 - 公寓,63栋,1297户,上海振南物业公司、振南物业,振南集团,16套在售二手房3套在租房源
509,闵行,195,68.2万,6727元,外环外,昆阳小区(闵行老闵行)地图,sh4672166举报假一赔百细则,2室2厅1卫,暂无数据,58.61平,暂无数据,中区/6层,简装,南,暂无数据,满五,折现,住宅 - 公寓,32958元/平,1973~2001年,住宅 - 公寓,164栋,2964户,闵联物业管理有限公司,上海海富置业有限公司、上海闵联实业有限公司,46套在售二手房25套在租房源
510,普陀,190,66.5万,6554元,外环外,桃浦七村雪松苑(普陀桃浦)地图,sh4672036举报假一赔百细则,1室1厅1卫,暂无数据,43.0平,暂无数据,高区/6层,暂无数据,暂无数据,暂无数据,满五,置换,住宅 - 公寓,44717元/平,1995年,住宅 - 公寓,188栋,4335户,上海普陀物业有限公司、普陀物业,西部集团,53套在售二手房13套在租房源
511,长宁,230,80.5万,7934元,内中环,华苑小区(长宁中山公园)地图,sh4671477举报假一赔百细则,1室0厅1卫,暂无数据,31.0平,暂无数据,低区/5层,简装,南,暂无数据,满五,折现,住宅 - 公寓,75953元/平,1980~1988年,住宅 - 公寓、住宅 - 新里,26栋,510户,上海新长宁集团华阳物业有限公司、华阳物业,上海新长宁（集团）有限公司、长宁集团,10套在售二手房2套在租房源
512,杨浦,310,108.5万,10694元,中外环,国定路600弄(杨浦五角场)地图,sh4670290举报假一赔百细则,2室0厅1卫,暂无数据,50.36平,暂无数据,高区/6层,简装,南北,暂无数据,满五,折现,住宅 - 公寓,63975元/平,1980~1996年,住宅 - 公寓,42栋,879户,上海申鹭物业管理有限公司,无开发商,17套在售二手房4套在租房源
513,闸北,710,248.5万,24493元,内中环,阳城花园(闸北阳城)地图,sh4670238举报假一赔百细则,3室2厅2卫,暂无数据,108.87平,暂无数据,中区/6层,暂无数据,暂无数据,2002-06-05,满五,其它,住宅 - 公寓,62820元/平,2001~2002年,住宅 - 公寓,93栋,1273户,大华集团、大华物业,上海阳城房地产有限公司,19套在售二手房4套在租房源
514,虹口,205,71.8万,7072元,内中环,广中三村(虹口凉城)地图,sh4670125举报假一赔百细则,1室0厅1卫,暂无数据,33.02平,暂无数据,低区/5层,简装,南,暂无数据,满五,其它,住宅 - 公寓,58587元/平,1957~1983年,住宅 - 公寓、住宅 - 新里,57栋,1182户,上海广同物业有限公司、上海由由物业管理有限公司,虹房置业,14套在售二手房4套在租房源
515,徐汇,695,243.2万,23976元,内环内,谨斜小区(徐汇徐家汇)地图,sh4669859举报假一赔百细则,3室2厅1卫,暂无数据,104.92平,暂无数据,中区/7层,精装,南,2009-06-09,满五,置换,住宅 - 公寓,81020元/平,1974~2000年,住宅 - 公寓、住宅 - 写字楼、住宅 - 新里,57栋,1151户,上海枫林物业有限公司、枫林物业,枫林房产开发有限公司,13套在售二手房14套在租房源
516,浦东,330,115.5万,11384元,内中环,罗山七村(浦东金杨)地图,sh4669844举报假一赔百细则,2室1厅1卫,暂无数据,64.59平,暂无数据,高区/6层,简装,南,暂无数据,满五,置换,住宅 - 公寓,56127元/平,1995~1998年,住宅 - 公寓,66栋,1529户,上海通昌物业管理有限公司、通昌物业,上海建工房产有限公司,11套在售二手房6套在租房源
517,徐汇,1560,546万,53816元,内环内,汇翠花园(徐汇徐家汇)地图,sh4669798举报假一赔百细则,3室2厅2卫,有(四梯十户),178.22平,暂无数据,中区/34层,中装,南北,2003-09-15,满五,折现,住宅 - 公寓,88933元/平,2003年,住宅 - 公寓、商业类,6栋,653户,上海上房物业管理有限公司昆山分公司、上房物业,上海滨江置业有限公司,21套在售二手房14套在租房源
518,闸北,660,231万,22768元,内环内,协诚中心大厦(闸北不夜城)地图,sh4669680举报假一赔百细则,4室2厅2卫,有(二梯七户),134.93平,暂无数据,低区/26层,毛坯,西北,暂无数据,满五,其它,住宅 - 公寓,54400元/平,暂无信息,住宅 - 公寓,1栋,156户,仁爱物业,上海协顺房产有限公司,2套在售二手房1套在租房源
519,普陀,860,301万,29668元,内中环,达安春之声(普陀万里)地图,sh4668493举报假一赔百细则,3室2厅2卫,有(二梯四户),118.93平,暂无数据,低区/17层,中装,南北,2006-06-01,满五,置换,住宅 - 公寓,74527元/平,2006~2008年,住宅 - 公寓,28栋,1354户,上海达安物业管理有限公司,上海达安企业发展有限公司、达安集团,17套在售二手房5套在租房源
520,闵行,610,213.5万,21043元,外环外,南洋博仕欣居(闵行老闵行)地图,sh4668267举报假一赔百细则,3室2厅2卫,有(一梯二户),133.41平,暂无数据,高区/14层,简装,南北,暂无数据,满五,折现,住宅 - 公寓,46637元/平,2005年,住宅 - 公寓,35栋,987户,上海东慧庄园物业管理有限公司、上海东慧庄原物业管理有限公司、东慧物业,上海源广置业有限公司,12套在售二手房7套在租房源
521,长宁,345,120.7万,11902元,中外环,延北小区(长宁西郊)地图,sh4668187举报假一赔百细则,1室1厅1卫,暂无数据,54.0平,暂无数据,中区/5层,暂无数据,暂无数据,暂无数据,满五,其它,住宅 - 公寓,61297元/平,1991~1995年,住宅 - 公寓,40栋,512户,上海虹霞物业管理公司,虹桥开发商、虹桥置业开发有限公司,7套在售二手房14套在租房源
522,浦东,750,262.5万,25873元,内中环,锦华花园(浦东北蔡)地图,sh4668098举报假一赔百细则,3室2厅2卫,暂无数据,120.42平,暂无数据,高区/5层,简装,南北,暂无数据,满五,折现,住宅 - 公寓,65208元/平,1997~2000年,住宅 - 公寓,57栋,690户,建工物业、中原物业公司、中原物业,上海陆家嘴房产开发有限公司、上海陆家嘴(集团)有限公司、通宇集团有限公司,12套在售二手房3套在租房源
523,宝山,230,80.5万,7934元,外环外,宝钢二村(宝山淞宝)地图,sh4667615举报假一赔百细则,2室0厅1卫,暂无数据,49.38平,暂无数据,中区/5层,精装,南北,暂无数据,满五,置换,住宅 - 公寓,46702元/平,1978~1998年,住宅 - 公寓,85栋,1820户,上海友谊集团物业管理有限公司、友谊物业,宝钢集团有限公司,14套在售二手房4套在租房源
524,闵行,335,117.2万,11557元,中外环,罗阳七村(闵行梅陇)地图,sh4667364举报假一赔百细则,2室1厅1卫,暂无数据,62.32平,暂无数据,低区/6层,简装,南,暂无数据,满五,置换,住宅 - 公寓,51567元/平,1994~2004年,住宅 - 公寓、商业类、住宅 - 写字楼,221栋,2948户,华宝物业有限公司,深圳市华宝(集团)西部房地产公司,43套在售二手房14套在租房源
525,浦东,215,75.2万,7417元,中外环,富特四村(浦东外高桥)地图,sh4667356举报假一赔百细则,1室1厅1卫,暂无数据,47.98平,暂无数据,高区/6层,精装,南,暂无数据,满五,其它,住宅 - 公寓,46851元/平,1993~2009年,住宅 - 公寓,105栋,1446户,上海外高桥物业管理有限公司、自主物业,上海外高桥保税区联合发展有限公司,17套在售二手房7套在租房源
526,徐汇,840,294万,28978元,内环内,兴南花园(徐汇斜土路)地图,sh4666948举报假一赔百细则,2室2厅1卫,有(三梯六户),117.28平,暂无数据,高区/24层,精装,西北,2005-01-01,满五,置换,住宅 - 公寓,74501元/平,1995年,住宅 - 公寓,2栋,288户,上海兴南房地产发展有限公司物业管理公司,上海兴南房地产发展有限公司,9套在售二手房2套在租房源
527,虹口,525,183.8万,18111元,内中环,金属新村(虹口凉城)地图,sh4666540举报假一赔百细则,2室1厅1卫,暂无数据,87.32平,暂无数据,高区/6层,中装,南,2003-12-06,满五,其它,住宅 - 公寓,62196元/平,1994~1995年,住宅 - 公寓,33栋,534户,上海江湾物业管理有限公司、金属物业,上房集团、上海上房置业中心有限公司,7套在售二手房1套在租房源
528,闵行,370,129.5万,12764元,中外环,东兰小区(闵行古美)地图,sh4666423举报假一赔百细则,2室1厅1卫,暂无数据,66.1平,暂无数据,中区/6层,简装,南,1995-06-08,满五,置换,住宅 - 公寓,58872元/平,1989年,住宅 - 公寓,53栋,898户,上海东兰汇聚物业有限公司、无,上海漕河泾开发区经济技术发展有限公司,8套在售二手房2套在租房源
529,长宁,440,154万,15179元,内环内,番禺路222弄11支弄(长宁新华路)地图,sh4666174举报假一赔百细则,2室0厅1卫,有(一梯六户),56.0平,暂无数据,低区/7层,中装,南,暂无数据,满五,折现,住宅 - 公寓,71418元/平,1993年,住宅 - 公寓、住宅 - 新里,5栋,189户,上海新华物业有限公司、新华物业,上海新华房地产发展公司,2套在售二手房3套在租房源
530,杨浦,355,124.2万,12247元,内中环,铁路新村（杨浦）(杨浦五角场)地图,sh4664491举报假一赔百细则,2室0厅1卫,暂无数据,50.27平,暂无数据,中区/6层,精装,南,2003-02-04,满五,折现,住宅 - 公寓,70135元/平,1978~1987年,住宅 - 公寓、住宅 - 新里,79栋,1778户,上海黄兴广场物业管理有限公司,上海铁路局,25套在售二手房8套在租房源
531,浦东,520,182万,17939元,中外环,杉林新月环林东路875弄(浦东三林)地图,sh4664348举报假一赔百细则,2室2厅1卫,有(一梯四户),84.89平,暂无数据,低区/18层,中装,南北,暂无数据,满五,折现,住宅 - 公寓,58127元/平,2006年,住宅 - 公寓,22栋,1218户,上海建维置业发展有限公司、上海实业,上海世维置业发展有限公司,16套在售二手房5套在租房源
532,浦东,750,262.5万,25873元,内中环,张江汤臣豪园三期(浦东张江)地图,sh4664157举报假一赔百细则,3室2厅1卫,有(一梯三户),89.35平,暂无数据,低区/11层,精装,南北,2012-03-06,满五,置换,住宅 - 公寓,85817元/平,2010~2011年,住宅 - 公寓,60栋,1531户,上海东湖物业管理公司、东湖物业,上海汤臣集团有限公司,14套在售二手房7套在租房源
533,虹口,290,101.5万,10004元,内环内,远洋新村(虹口临平路)地图,sh4663271举报假一赔百细则,1室1厅1卫,暂无数据,39.87平,暂无数据,中区/5层,简装,南,暂无数据,满五,折现,住宅 - 公寓,73697元/平,1979年,住宅 - 公寓,14栋,285户,上海中远物业管理发展有限公司,远洋地产控股有限公司,2套在售二手房2套在租房源
534,浦东,2900,1015万,100042元,内环内,盛大金磐(浦东陆家嘴)地图,sh4662557举报假一赔百细则,3室2厅3卫,有(三梯二户),264.13平,暂无数据,中区/47层,精装,南北,2008-02-14,满五,其它,住宅 - 公寓,109655元/平,2005年,住宅 - 公寓,6栋,533户,上海仲量联行物业管理有限公司,上海金磐房地产开发有限公司,18套在售二手房33套在租房源
535,静安,395,138.2万,13626元,内环内,爱俪轩(静安静安寺)地图,sh4661931举报假一赔百细则,1室0厅1卫,有(三梯九户),50.19平,暂无数据,低区/38层,精装,南,2011-05-25,满五,折现,住宅 - 公寓,75263元/平,1998年,住宅 - 公寓,1栋,289户,上海盛宇物业经营服务有限公司、上海保利皇都物业管理有限公司,爱俪发展（上海）有限公司,15套在售二手房13套在租房源
536,普陀,425,148.8万,14661元,内中环,太浜巷小区(普陀光新)地图,sh4661190举报假一赔百细则,2室1厅1卫,暂无数据,62.22平,暂无数据,低区/6层,毛坯,南,暂无数据,满五,折现,住宅 - 公寓,67288元/平,1985~2005年,住宅 - 公寓、住宅 - 新里,125栋,2609户,上海中山物业有限公司,上海中山市场发展有限公司,21套在售二手房8套在租房源
537,浦东,500,175万,17249元,内环内,陈家宅小区(浦东陆家嘴)地图,sh4656583举报假一赔百细则,2室1厅1卫,有(二梯八户),73.42平,暂无数据,低区/18层,简装,南,2008-01-12,满五,折现,住宅 - 公寓,71770元/平,1996年,住宅 - 公寓,2栋,287户,潍坊物业,新连地产,2套在售二手房1套在租房源
538,宝山,498,174.3万,17180元,中外环,梧桐城邦（四期）(宝山大华)地图,sh4656164举报假一赔百细则,1室1厅1卫,有(一梯三户),68.87平,暂无数据,中区/10层,精装,南,暂无数据,满五,其它,住宅 - 公寓,76096元/平,2011~2013年,住宅 - 别墅、住宅 - 公寓,139栋,393户,上海大华物业有限公司,暂无信息,11套在售二手房2套在租房源
539,虹口,1730,605.5万,59680元,内环内,世博花园(虹口鲁迅公园)地图,sh4655802举报假一赔百细则,5室2厅2卫,有(二梯二户),194.23平,暂无数据,高区/20层,暂无数据,暂无数据,2004-12-22,满五,折现,住宅 - 公寓,90751元/平,2004~2010年,住宅 - 公寓,19栋,1044户,上海汇枫物业发展有限公司,上海广伟置业有限公司,22套在售二手房3套在租房源
540,浦东,275,96.2万,9487元,内中环,金杨新村五街坊(浦东金杨)地图,sh4655451举报假一赔百细则,1室1厅1卫,暂无数据,44.35平,暂无数据,低区/6层,中装,南,暂无数据,满五,折现,住宅 - 公寓,59353元/平,1994~1999年,住宅 - 公寓,226栋,3891户,上海陆家嘴物业管理有限公司,上海锦和投资集团有限公司,41套在售二手房8套在租房源
541,徐汇,285,99.8万,9832元,内中环,田林十四村(徐汇田林)地图,sh4655354举报假一赔百细则,1室0厅1卫,暂无数据,31.74平,暂无数据,高区/6层,中装,南,2004-08-02,满五,其它,住宅 - 公寓,82383元/平,1987~1994年,住宅 - 公寓,68栋,2727户,上海安得物业管理有限公司、上海田林物业有限公司、田林新村物业管理公司,上海徐汇房产经营有限公司,23套在售二手房14套在租房源
542,宝山,300,105万,10349元,中外环,祁连二村(宝山上大)地图,sh4654511举报假一赔百细则,2室1厅1卫,暂无数据,66.36平,暂无数据,低区/6层,毛坯,南北,暂无数据,满五,折现,住宅 - 公寓,44514元/平,1994~1997年,住宅 - 公寓,154栋,1987户,上海豪斯物业管理有限公司、上海祁连物业有限公司、祁连物业,祁连地产,30套在售二手房9套在租房源
543,浦东,335,117.2万,11557元,内中环,培花七村(浦东北蔡)地图,sh4653878举报假一赔百细则,1室1厅1卫,有(一梯二户),56.65平,暂无数据,低区/7层,精装,南,1970-01-01,满五,置换,住宅 - 公寓,60934元/平,1994~1997年,住宅 - 公寓,84栋,1308户,扬帆物业服务有限责任公司、上海众开房地产有限公司,上海众开房地产有限公司、南新开发,33套在售二手房6套在租房源
544,浦东,300,105万,10349元,外环外,妙境一村(浦东川沙)地图,sh4653161举报假一赔百细则,2室1厅1卫,暂无数据,78.0平,暂无数据,高区/6层,中装,南,2011-06-01,满五,置换,住宅 - 公寓,43398元/平,1993~1995年,住宅 - 公寓,38栋,434户,上海浦东物业管理公司,浦东房地产开发公司、上海浦东开发公司,11套在售二手房2套在租房源
545,杨浦,1300,455万,44846元,内中环,香阁丽苑(杨浦黄兴公园)地图,sh4653012举报假一赔百细则,3室2厅2卫,暂无数据,144.47平,暂无数据,中区/5层,毛坯,南北,2004-05-13,满五,折现,住宅 - 公寓,87184元/平,2004年,住宅 - 别墅、住宅 - 公寓、商业类,67栋,1055户,上海阳顺房地产有限公司,上海阳顺房地产有限公司,12套在售二手房2套在租房源
546,普陀,1100,385万,37947元,内中环,香溢花城（住宅）(普陀光新)地图,sh4652458举报假一赔百细则,3室2厅2卫,暂无数据,138.67平,暂无数据,低区/8层,精装,南北,暂无数据,满五,折现,住宅 - 公寓,83342元/平,2009~2014年,住宅 - 公寓、商业类,35栋,2119户,上海绿城物业有限公司、绿城物业、绿城物业,上海昊川置业有限公司,31套在售二手房13套在租房源
547,普陀,730,255.5万,25183元,内中环,星河世纪城(普陀真如)地图,sh4651375举报假一赔百细则,2室2厅2卫,有(二梯三户),115.88平,暂无数据,中区/24层,毛坯,南北,暂无数据,满五,其它,住宅 - 公寓,64783元/平,2005~2009年,住宅 - 公寓,99栋,3052户,上海农工商旺都物业管理有限公司,上海泰尔发房地产开发有限公司,35套在售二手房8套在租房源
548,浦东,288,100.8万,9935元,内环内,蓝高小区(浦东塘桥)地图,sh4651132举报假一赔百细则,1室1厅1卫,暂无数据,42.43平,暂无数据,高区/6层,中装,南,2006-05-01,满五,折现,住宅 - 公寓,70617元/平,1988~1994年,住宅 - 公寓,74栋,1710户,上海中星集团申城物业有限公司、中星物业,蓝高小区,12套在售二手房9套在租房源
549,徐汇,1450,507.5万,50021元,内环内,尊园(徐汇徐家汇)地图,sh4650457举报假一赔百细则,3室2厅2卫,有(三梯三户),147.22平,暂无数据,低区/37层,精装,南北,2010-12-02,满五,折现,住宅 - 公寓,97031元/平,2003年,住宅 - 公寓,3栋,396户,上海浦江物业有限公司、浦江物业,上海吉发投资有限公司,10套在售二手房11套在租房源
550,浦东,425,148.8万,14661元,外环外,毕加索小镇（一期）（公寓）(浦东唐镇)地图,sh4649681举报假一赔百细则,1室1厅1卫,有(一梯三户),59.87平,暂无数据,低区/8层,简装,南,暂无数据,满五,其它,住宅 - 公寓,55188元/平,2010年,住宅 - 公寓,58栋,1183户,自主物业、上海东郊皇庭物业管理有限公司,上海华飞置业有限公司、上海华飞投资集团股份有限公司,40套在售二手房25套在租房源
551,嘉定,270,94.5万,9314元,中外环,金丰新村(嘉定丰庄)地图,sh4648940举报假一赔百细则,2室1厅1卫,有(一梯三户),60.0平,暂无数据,高区/7层,中装,南,2009-06-16,满五,置换,住宅 - 公寓,住宅 - 公寓,75栋,1105户,绿地物业,虹民房地产开发有限公司,17套在售二手房0套在租房源,,
552,长宁,2700,945万,93143元,内中环,强生古北花园(长宁古北)地图,sh4648900举报假一赔百细则,4室3厅3卫,有(一梯二户),291.38平,暂无数据,高区/26层,精装,南,2009-04-24,满五,其它,住宅 - 公寓,93946元/平,2007年,住宅 - 公寓、商业类、住宅 - 写字楼,16栋,546户,上海新古北物业管理有限公司、古北物业、上海物业,上海古强房地产开发有限公司,13套在售二手房13套在租房源
553,虹口,305,106.8万,10522元,内环内,大连小区(虹口临平路)地图,sh4648263举报假一赔百细则,1室1厅1卫,暂无数据,43.98平,暂无数据,中区/6层,简装,东南,暂无数据,满五,折现,住宅 - 公寓,71293元/平,1987~1994年,住宅 - 公寓,40栋,1253户,上海船舫物业,上海第二工具厂,15套在售二手房4套在租房源
554,浦东,405,141.8万,13971元,内中环,芳草路352弄(浦东北蔡)地图,sh4646719举报假一赔百细则,2室1厅1卫,暂无数据,70.53平,暂无数据,高区/6层,毛坯,南,2008-12-30,满五,置换,住宅 - 公寓,58576元/平,1994~1996年,住宅 - 公寓,35栋,444户,上海航帆物业管理有限公司,上海裕华,9套在售二手房2套在租房源
555,闸北,235,82.2万,8107元,中外环,康平小区(闸北彭浦)地图,sh4645598举报假一赔百细则,2室0厅1卫,暂无数据,44.4平,暂无数据,高区/6层,精装,南,暂无数据,满五,置换,住宅 - 公寓,53633元/平,1981~1991年,住宅 - 公寓,100栋,2698户,上海北安物业管理有限公司,北方集团,42套在售二手房7套在租房源
556,长宁,715,250.2万,24666元,中外环,虹桥中园(长宁西郊)地图,sh4644127举报假一赔百细则,2室2厅1卫,有(二梯四户),97.16平,暂无数据,中区/13层,精装,西北,2008-05-01,满五,折现,住宅 - 公寓,64611元/平,2006~2007年,住宅 - 公寓、商业类、住宅 - 写字楼,17栋,481户,上海益镇物业管理有限公司、中元物业,中州集团,10套在售二手房6套在租房源
557,普陀,510,178.5万,17594元,中外环,恒盛鼎城华公馆(普陀桃浦)地图,sh4644028举报假一赔百细则,2室2厅1卫,有(一梯二户),89.0平,暂无数据,低区/16层,毛坯,暂无数据,暂无数据,满五,其它,住宅 - 公寓,64717元/平,2011年,住宅 - 公寓,46栋,1439户,上海泰喜物业管理有限公司,上海盛成置业有限公司,24套在售二手房2套在租房源
558,普陀,275,96.2万,9487元,内中环,桂巷新村(普陀长风)地图,sh4643046举报假一赔百细则,2室0厅1卫,暂无数据,46.0平,暂无数据,高区/6层,简装,南,1986-09-08,满五,置换,住宅 - 公寓,67219元/平,1982~1989年,住宅 - 公寓,78栋,2381户,上海曹杨物业有限公司、自主物业,上海市普陀区城市建设投资有限公司,21套在售二手房7套在租房源
559,浦东,538,188.3万,18560元,中外环,绿洲康城亲水湾（中央区）(浦东御桥)地图,sh4642989举报假一赔百细则,2室2厅1卫,有(一梯三户),103.76平,暂无数据,中区/17层,暂无数据,暂无数据,2011-05-01,满五,置换,住宅 - 公寓,54565元/平,2007~2015年,住宅 - 公寓,64栋,3683户,上海中远物业管理发展有限公司,上海振龙房地产开发有限公司,46套在售二手房16套在租房源
560,杨浦,183,64万,6313元,内中环,控江五村(杨浦黄兴公园)地图,sh4642242举报假一赔百细则,1室0厅1卫,暂无数据,34.12平,暂无数据,高区/4层,中装,南,暂无数据,满五,其它,住宅 - 公寓,62104元/平,1957~2007年,住宅 - 公寓,127栋,3221户,卫百辛集团物业、卫百辛物业,老上海黄兴房产开发公司、老上海黄兴房产公司,63套在售二手房10套在租房源
561,浦东,860,301万,29668元,内中环,博爱家园(浦东世博)地图,sh4642098举报假一赔百细则,3室2厅2卫,暂无数据,124.94平,暂无数据,低区/6层,精装,南北,2004-01-20,满五,其它,住宅 - 公寓,69266元/平,2001~2003年,住宅 - 公寓,66栋,912户,上南物业公司,上海南博房产有限公司,9套在售二手房5套在租房源
562,闵行,225,78.8万,7762元,外环外,银都新村(1至7区)(闵行颛桥)地图,sh4641188举报假一赔百细则,1室1厅1卫,暂无数据,42.78平,暂无数据,中区/6层,简装,南,1996-05-31,满五,折现,住宅 - 公寓,47220元/平,1994~2000年,住宅 - 公寓,336栋,4622户,上海益镇物业管理有限公司、上海益镇物业管理有限公司,颛桥房地产,52套在售二手房22套在租房源
563,闸北,370,129.5万,12764元,内中环,延长中路451弄(闸北大宁)地图,sh4640251举报假一赔百细则,2室1厅1卫,暂无数据,53.9平,暂无数据,低区/6层,中装,南,1997-08-01,满五,折现,住宅 - 公寓,75016元/平,1986~1987年,住宅 - 公寓,33栋,972户,上海共贺物业管理有限公司,延尘房地产开发有限公司,11套在售二手房11套在租房源
564,虹口,316,110.6万,10901元,内环内,广中路25弄(虹口曲阳)地图,sh4639664举报假一赔百细则,2室0厅1卫,暂无数据,46.56平,暂无数据,中区/6层,简装,南,1983-07-01,满五,折现,住宅 - 公寓,70383元/平,1982~1985年,住宅 - 公寓,12栋,253户,上海广同物业有限公司,虹房置业,3套在售二手房1套在租房源
