,totalprice,xiaoqu,huxing,mianji,chaoxiang,zhuangxiu,dianti,guanzhu,daikan,fabu,mianji_num,mi,group_mianji,guanzhu_num,ren,group_guanzhu,label
100,550.0,六建  , 3室1厅 , 58.1平米 , 南 北 , 精装 , 无电梯,218人关注 , 共122次带看 , 7个月以前发布,58.1,米 ,50-100,218.0,关注 ,200-300,0
101,610.0,亮马嘉园  , 2室1厅 , 89.95平米 , 东 西 , 精装,,208人关注 , 共70次带看 , 2个月以前发布,89.95,米 ,50-100,208.0,关注 ,200-300,0
102,720.0,北苑家园茉藜园  , 3室1厅 , 126.97平米 , 西南 , 精装,,105人关注 , 共44次带看 , 1个月以前发布,126.97,米 ,100-150,105.0,关注 ,100-200,2
103,600.0,宝盛北里  , 2室1厅 , 99.26平米 , 南 北 , 精装,,29人关注 , 共36次带看 , 2个月以前发布,99.26,米 ,50-100,29.0,关注 ,小于100,0
104,870.0,豆瓣胡同  , 2室1厅 , 69.35平米 , 西南 , 精装,,86人关注 , 共76次带看 , 3个月以前发布,69.35,米 ,50-100,86.0,关注 ,小于100,2
105,586.0,怡清园  , 2室1厅 , 86.6平米 , 南 北 , 简装,,72人关注 , 共30次带看 , 1个月以前发布,86.6,米 ,50-100,72.0,关注 ,小于100,0
106,230.0,伟业嘉园西里  , 2室1厅 , 51.06平米 , 南 , 简装,,111人关注 , 共35次带看 , 4个月以前发布,51.06,米 ,50-100,111.0,关注 ,100-200,0
107,900.0,竹杆胡同  , 3室1厅 , 91.64平米 , 东 西 , 简装,,93人关注 , 共56次带看 , 2个月以前发布,91.64,米 ,50-100,93.0,关注 ,小于100,2
108,415.0,远洋山水  , 2室1厅 , 69.68平米 , 西 , 精装,,127人关注 , 共30次带看 , 1个月以前发布,69.68,米 ,50-100,127.0,关注 ,100-200,0
109,649.0,上海建筑  , 3室1厅 , 95.48平米 , 东 南 , 精装,,232人关注 , 共116次带看 , 2个月以前发布,95.48,米 ,50-100,232.0,关注 ,200-300,0
110,980.0,星河城东区  , 3室2厅 , 148.31平米 , 南 北 , 精装,,118人关注 , 共52次带看 , 1个月以前发布,148.31,米 ,100-150,118.0,关注 ,100-200,2
111,610.0,新纪家园  , 2室1厅 , 80.72平米 , 东南 , 精装 , 有电梯,56人关注 , 共36次带看 , 1个月以前发布,80.72,米 ,50-100,56.0,关注 ,小于100,0
112,1000.0,逸翠园  , 3室2厅 , 127.77平米 , 南 北 , 精装,,110人关注 , 共38次带看 , 2个月以前发布,127.77,米 ,100-150,110.0,关注 ,100-200,2
113,799.0,逸成东苑  , 3室1厅 , 88.96平米 , 西南 , 简装,,126人关注 , 共34次带看 , 1个月以前发布,88.96,米 ,50-100,126.0,关注 ,100-200,2
114,820.0,小黄庄一区  , 3室1厅 , 98.51平米 , 东 西 , 精装,,127人关注 , 共46次带看 , 2个月以前发布,98.51,米 ,50-100,127.0,关注 ,100-200,2
115,930.0,枫丹丽舍  , 3室1厅 , 146.58平米 , 南 北 , 精装,,59人关注 , 共20次带看 , 17天以前发布,146.58,米 ,100-150,59.0,关注 ,小于100,2
116,625.0,畅清园  , 2室1厅 , 82.01平米 , 南 北 , 简装,,21人关注 , 共10次带看 , 15天以前发布,82.01,米 ,50-100,21.0,关注 ,小于100,0
117,739.0,望京西园三区  , 2室2厅 , 102.51平米 , 东南 , 精装,,38人关注 , 共18次带看 , 27天以前发布,102.51,米 ,100-150,38.0,关注 ,小于100,2
118,348.0,西罗园四区  , 2室1厅 , 64.7平米 , 南 北 , 其他,,57人关注 , 共13次带看 , 17天以前发布,64.7,米 ,50-100,57.0,关注 ,小于100,0
119,455.0,金榜园  , 2室1厅 , 96.42平米 , 南 北 , 简装,,39人关注 , 共20次带看 , 17天以前发布,96.42,米 ,50-100,39.0,关注 ,小于100,0
